Sample	SuperPop	Project
NA20520	EUR	1KG
NA20521	EUR	1KG
NA20522	EUR	1KG
NA20524	EUR	1KG
NA20525	EUR	1KG
NA20527	EUR	1KG
NA20528	EUR	1KG
NA20529	EUR	1KG
NA20531	EUR	1KG
NA20532	EUR	1KG
NA20534	EUR	1KG
NA20535	EUR	1KG
NA20536	EUR	1KG
NA20538	EUR	1KG
NA20539	EUR	1KG
NA20540	EUR	1KG
NA20541	EUR	1KG
NA20542	EUR	1KG
NA20543	EUR	1KG
NA20544	EUR	1KG
NA20581	EUR	1KG
NA20582	EUR	1KG
NA20585	EUR	1KG
NA20586	EUR	1KG
NA20587	EUR	1KG
NA20588	EUR	1KG
NA20589	EUR	1KG
NA20752	EUR	1KG
NA20753	EUR	1KG
NA20754	EUR	1KG
NA20755	EUR	1KG
NA20756	EUR	1KG
NA20757	EUR	1KG
NA20758	EUR	1KG
NA20759	EUR	1KG
NA20760	EUR	1KG
NA20761	EUR	1KG
NA20762	EUR	1KG
NA20763	EUR	1KG
NA20764	EUR	1KG
NA20765	EUR	1KG
NA20766	EUR	1KG
NA20767	EUR	1KG
NA20768	EUR	1KG
NA20769	EUR	1KG
NA20770	EUR	1KG
NA20771	EUR	1KG
NA20772	EUR	1KG
NA20773	EUR	1KG
NA20774	EUR	1KG
NA20775	EUR	1KG
NA20778	EUR	1KG
NA20783	EUR	1KG
NA20785	EUR	1KG
NA20786	EUR	1KG
NA20787	EUR	1KG
NA20790	EUR	1KG
NA20792	EUR	1KG
NA20795	EUR	1KG
NA20796	EUR	1KG
NA20797	EUR	1KG
NA20798	EUR	1KG
NA20799	EUR	1KG
NA20800	EUR	1KG
NA20801	EUR	1KG
NA20802	EUR	1KG
NA20803	EUR	1KG
NA20804	EUR	1KG
NA20805	EUR	1KG
NA20806	EUR	1KG
NA20807	EUR	1KG
NA20808	EUR	1KG
NA20809	EUR	1KG
NA20810	EUR	1KG
NA20811	EUR	1KG
NA20812	EUR	1KG
NA20813	EUR	1KG
NA20814	EUR	1KG
NA20815	EUR	1KG
NA20818	EUR	1KG
NA20819	EUR	1KG
NA20821	EUR	1KG
NA20822	EUR	1KG
NA20826	EUR	1KG
NA20827	EUR	1KG
NA20828	EUR	1KG
NA20845	CSA	1KG
NA20846	CSA	1KG
NA20847	CSA	1KG
NA20849	CSA	1KG
NA20850	CSA	1KG
NA20851	CSA	1KG
NA20852	CSA	1KG
NA20853	CSA	1KG
NA20854	CSA	1KG
NA20856	CSA	1KG
NA20858	CSA	1KG
NA20859	CSA	1KG
NA20861	CSA	1KG
NA20862	CSA	1KG
NA20863	CSA	1KG
NA20864	CSA	1KG
NA20866	CSA	1KG
NA20867	CSA	1KG
NA20868	CSA	1KG
NA20869	CSA	1KG
NA20870	CSA	1KG
NA20872	CSA	1KG
NA20874	CSA	1KG
NA20875	CSA	1KG
NA20876	CSA	1KG
NA20877	CSA	1KG
NA20878	CSA	1KG
NA20881	CSA	1KG
NA20882	CSA	1KG
NA20884	CSA	1KG
NA20885	CSA	1KG
NA20886	CSA	1KG
NA20887	CSA	1KG
NA20888	CSA	1KG
NA20889	CSA	1KG
NA20890	CSA	1KG
NA20892	CSA	1KG
NA20894	CSA	1KG
NA20895	CSA	1KG
NA20896	CSA	1KG
NA20897	CSA	1KG
NA20899	CSA	1KG
NA20901	CSA	1KG
NA20902	CSA	1KG
NA20903	CSA	1KG
NA20904	CSA	1KG
NA20905	CSA	1KG
NA20906	CSA	1KG
NA20908	CSA	1KG
NA20910	CSA	1KG
NA20911	CSA	1KG
NA21086	CSA	1KG
NA21087	CSA	1KG
NA21088	CSA	1KG
NA21089	CSA	1KG
NA21090	CSA	1KG
NA21091	CSA	1KG
NA21092	CSA	1KG
NA21093	CSA	1KG
NA21094	CSA	1KG
NA21095	CSA	1KG
NA21097	CSA	1KG
NA21098	CSA	1KG
NA21099	CSA	1KG
NA21100	CSA	1KG
NA21101	CSA	1KG
NA21102	CSA	1KG
NA21103	CSA	1KG
NA21104	CSA	1KG
NA21105	CSA	1KG
NA21106	CSA	1KG
NA21107	CSA	1KG
NA21108	CSA	1KG
NA21109	CSA	1KG
NA21110	CSA	1KG
NA21111	CSA	1KG
NA21112	CSA	1KG
NA21113	CSA	1KG
NA21114	CSA	1KG
NA21115	CSA	1KG
NA21116	CSA	1KG
NA21117	CSA	1KG
NA21118	CSA	1KG
NA21119	CSA	1KG
NA21120	CSA	1KG
NA21122	CSA	1KG
NA21123	CSA	1KG
NA21124	CSA	1KG
NA21125	CSA	1KG
NA21126	CSA	1KG
NA21127	CSA	1KG
NA21128	CSA	1KG
NA21129	CSA	1KG
NA21130	CSA	1KG
NA21133	CSA	1KG
NA21137	CSA	1KG
NA21141	CSA	1KG
NA21142	CSA	1KG
NA21143	CSA	1KG
NA21144	CSA	1KG
SS6004467	EAS	HGDP
SS6004468	EUR	HGDP
SS6004469	EAS	HGDP
SS6004470	AFR	HGDP
SS6004473	AFR	HGDP
SS6004474	EUR	HGDP
SS6004475	AFR	HGDP
SS6004476	AMR	HGDP
